Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,Photo_Label,PhotoID,Horizontal(mm),,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0038,40,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0043,46,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0053,60,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0058,70,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0060,74,0.081,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0066,89,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0067,92,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0068,97,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0069,101,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0070,104,0.088,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0075,116,0.087,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0077,118,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0083,125,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0084,126,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0085,127,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0086,128,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0089,132,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0095,139,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0099,143,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0106,149,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0111,157,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0113,159,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0114,160,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0114,161,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0115,162,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0116,163,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0003,2,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0004,3,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0005,4,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0006,5,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0007,6,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0008,7,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0008,8,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0009,9,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0010,10,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0011,11,0.097,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0012,12,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0013,13,0.099,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0014,14,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0015,15,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0016,16,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0017,17,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0018,18,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0019,19,0.096,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0020,20,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0021,21,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0022,22,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0025,25,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0026,26,0.091,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0027,27,0.095,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0028,29,0.093,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0029,31,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0030,32,0.097,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0032,34,0.092,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0033,35,0.094,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,,blast_exp1_b5-0034,36,0.090,,,,,,,,,,,,,,,,,,
