Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,total,abn_count,ratio,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B5,Exp2_B5,Twp,P7,C,Nonurban,36,1,0.028,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B6,Exp2_B6,Wh,P8,C,Urban,23,2,0.087,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B7,Exp2_B7,Trp,P7,NP,Nonurban,74,25,0.338,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B8,Exp2_B8,Twp,P5,C,Nonurban,2,2,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B9,Exp2_B9,Wh,P8,NP,Urban,42,8,0.190,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B10,Exp2_B10,Twp,P6,NP,Nonurban,18,1,0.056,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B11,Exp2_B11,Cab,P7,C,Urban,33,1,0.030,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B12,Exp2_B12,Trp,P8,C,Nonurban,30,16,0.533,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B13,Exp2_B13,Wh,P7,C,Urban,17,2,0.118,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B14,Exp2_B14,Trp,P5,C,Nonurban,19,4,0.211,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B16,Exp2_B16,Cab,P6,C,Urban,10,3,0.300,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B17,Exp2_B17,Twp,P5,NP,Nonurban,23,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B18,Exp2_B18,Wh,P6,NP,Urban,35,23,0.657,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B19,Exp2_B19,Cab,P8,NP,Urban,4,4,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B20,Exp2_B20,Trp,P7,C,Nonurban,54,2,0.037,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B21,Exp2_B21,Wh,P5,NP,Urban,68,6,0.088,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B23,Exp2_B23,Wh,P6,C,Urban,20,1,0.050,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B24,Exp2_B24,Trp,P5,NP,Nonurban,49,23,0.469,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B25,Exp2_B25,Cab,P5,NP,Urban,44,32,0.727,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B26,Exp2_B26,Twp,P6,C,Nonurban,15,15,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B27,Exp2_B27,Cab,P7,NP,Urban,24,24,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B28,Exp2_B28,Trp,P8,NP,Nonurban,80,14,0.175,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B29,Exp2_B29,Trp,P6,C,Nonurban,30,1,0.033,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B30,Exp2_B30,Wh,P5,C,Urban,10,2,0.200,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B31,Exp2_B31,Cab,P8,C,Urban,20,6,0.300,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B32,Exp2_B32,Twp,P7,NP,Nonurban,36,22,0.611,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B1,Exp3_B1,Cab,P9,C,Urban,30,3,0.100,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B2,Exp3_B2,Wh,P11,NP,Urban,70,2,0.029,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B3,Exp3_B3,Cab,P10,NP,Urban,74,2,0.027,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B4,Exp3_B4,Trp,P10,NP,Nonurban,58,2,0.034,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B7,Exp3_B7,Trp,P11,NP,Nonurban,69,2,0.029,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B8,Exp3_B8,Twp,P9,C,Nonurban,50,3,0.060,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B10,Exp3_B10,Twp,P10,NP,Nonurban,52,2,0.038,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B11,Exp3_B11,Cab,P11,C,Urban,32,4,0.125,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B13,Exp3_B13,Wh,P11,C,Urban,30,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B14,Exp3_B14,Trp,P9,C,Nonurban,1,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B16,Exp3_B16,Cab,P10,C,Urban,41,3,0.073,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B17,Exp3_B17,Twp,P9,NP,Nonurban,21,2,0.095,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B18,Exp3_B18,Wh,P10,NP,Urban,45,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B19,Exp3_B19,Cab,P12,NP,Urban,51,2,0.039,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B20,Exp3_B20,Trp,P11,C,Nonurban,46,7,0.152,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B21,Exp3_B21,Wh,P9,NP,Urban,62,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B23,Exp3_B23,Wh,P10,C,Urban,22,1,0.045,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B24,Exp3_B24,Trp,P9,NP,Nonurban,48,2,0.042,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B25,Exp3_B25,Cab,P9,NP,Urban,59,3,0.051,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B26,Exp3_B26,Twp,P10,C,Nonurban,69,1,0.014,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B27,Exp3_B27,Cab,P11,NP,Urban,34,2,0.059,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B29,Exp3_B29,Trp,P10,C,Nonurban,30,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B30,Exp3_B30,Wh,P9,C,Urban,24,3,0.125,,,,,,,,,,,,,,,,,
Pluteus,Exp3,B31,Exp3_B31,Cab,P12,C,Urban,27,2,0.074,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B1,Exp4_B1,Cab,P13,C,Urban,77,2,0.026,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B3,Exp4_B3,Cab,P14,NP,Urban,46,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B5,Exp4_B5,Wh,P13,C,Urban,34,2,0.059,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B6,Exp4_B6,Cab,P16,C,Urban,81,4,0.049,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B7,Exp4_B7,Trp,P13,NP,Nonurban,50,1,0.020,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B9,Exp4_B9,Cab,P15,NP,Urban,75,3,0.040,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B10,Exp4_B10,Wh,P13,NP,Urban,57,2,0.035,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B11,Exp4_B11,Cab,P15,C,Urban,50,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B14,Exp4_B14,Trp,P13,C,Nonurban,51,1,0.020,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B15,Exp4_B15,Cab,P13,NP,Urban,60,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B17,Exp4_B17,Cab,P16,NP,Urban,85,3,0.035,,,,,,,,,,,,,,,,,
Pluteus,Exp4,B18,Exp4_B18,Wh,P14,NP,Urban,1,0,0.000,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
